model,scenario,validation_ap,selection_seconds,average_precision,pr_auc_trapezoid,precision,recall,f2,brier,log_loss,threshold,tn,fp,fn,tp
purchase_rate,clean,0.20160481444332998,0.2050060950000443,0.20656084656084656,0.6032804232804233,0.20656084656084656,1.0,0.5655348244292502,0.17309744024928114,0.5477876094216373,0.01,0,3749,0,976
logistic,clean,0.24865106115627172,0.28203573099995083,0.33356794061583583,0.3325915423979342,0.24375161040968824,0.9692622950819673,0.6075786769428388,0.15818588294122082,0.49116067446744077,0.04,814,2935,30,946
random_forest,clean,0.30699681466742,2.2957796609998695,0.3411325147168911,0.3400468848347385,0.24141414141414141,0.9795081967213115,0.6078331637843337,0.15548092527251525,0.478138447747205,0.03,745,3004,20,956
gradient_boosting,clean,0.2892483831640243,1.298384267999836,0.33921063417531777,0.3384821362324402,0.23111963557899784,0.9877049180327869,0.5969040247678019,0.15719425723529185,0.49081886317005763,0.01,542,3207,12,964
random_forest_with_page_values,clean,0.7070389962370677,2.1996659500000533,0.6715213662467939,0.6713434040962177,0.6280487804878049,0.6331967213114754,0.6321603927986906,0.11583319195259449,0.38641192592256424,0.2,3383,366,358,618
purchase_rate,missing_numeric_10pct,,,0.20656084656084656,0.6032804232804233,0.20656084656084656,1.0,0.5655348244292502,0.17309744024928114,0.5477876094216373,0.01,0,3749,0,976
logistic,missing_numeric_10pct,,,0.32982176055215595,0.32882630939280755,0.2385390428211587,0.9702868852459017,0.6013462026924054,0.15942143170464754,0.4975037396486643,0.04,726,3023,29,947
random_forest,missing_numeric_10pct,,,0.3386476522741705,0.33782649197034753,0.23630981746423285,0.9815573770491803,0.601910027645137,0.15584678393132514,0.47978484547491873,0.03,653,3096,18,958
gradient_boosting,missing_numeric_10pct,,,0.3359987441153428,0.3352204374707941,0.2273048809243103,0.9877049180327869,0.5917740945365255,0.15755106575157346,0.4925981020717659,0.01,472,3277,12,964
