column,group,rows,purchase_rate,average_precision,pr_auc_trapezoid,precision,recall,f2,brier,log_loss,threshold,tn,fp,fn,tp
Month,Dec,1727,0.1250723798494499,0.28995194518578943,0.2860181283817631,0.1504548635409377,0.9953703703703703,0.4688181421718273,0.09932113663548923,0.3284557710309253,0.03,297,1214,1,215
Month,Nov,2998,0.25350233488992663,0.38677576946407605,0.3854394489303287,0.2927696562623469,0.975,0.6650511577813678,0.1878318108549515,0.5643632585173901,0.03,448,1790,19,741
VisitorType,New_Visitor,754,0.2692307692307692,0.37737797436280773,0.37303574537049444,0.2692307692307692,1.0,0.6481481481481481,0.1874949992412267,0.557444048452784,0.03,0,551,0,203
VisitorType,Other,84,0.19047619047619047,0.5133821753813539,0.4981670728385174,0.22535211267605634,1.0,0.5925925925925926,0.13591411352321825,0.4131288583987285,0.03,13,55,0,16
VisitorType,Returning_Visitor,3887,0.19475173655775663,0.32768047024909625,0.32667935865966513,0.23508771929824562,0.9735799207397622,0.5979230894045108,0.14969368586282464,0.46415964213188865,0.03,732,2398,20,737
